,name,empty_slots,free_bikes,slots,latitude,longitude
226,Bernard / Jeanne-Mance,23,0,23,45.52428310031213,-73.6049484461546
227,Jeanne-Mance / Laurier,12,8,23,45.52027633320609,-73.59497621666378
228,Milton / Durocher,5,18,27,45.508140959417744,-73.57492983341217
229,Clark / Prince-Arthur,28,1,31,45.513342512307055,-73.57301607728004
230,Bercy / Rachel,7,3,15,45.53840340979245,-73.56196403503418
231,de l'Esplanade / du Mont-Royal,5,18,23,45.51825290855221,-73.5883381962776
232,Villeneuve / St-Urbain,14,0,19,45.520188,-73.590559
233,de Rouen / Hogan,10,3,15,45.53636263222538,-73.55421245098114
234,de Gaspé / St-Viateur,19,0,19,45.527672646696104,-73.59738260507582
235,Waverly / Van Horne,4,7,11,45.527363,-73.607723
236,Poupart / Ontario,18,1,19,45.531836726498305,-73.55348825454712
237,Querbes / Laurier,9,2,15,45.51748721436461,-73.59788417816162
238,Berri / Cherrier,21,16,39,45.519266156911335,-73.5692971944809
239,Aylmer / Prince-Arthur,12,11,23,45.508566869474386,-73.57769787311554
240,Bloomfied / Elmwood,13,0,15,45.51825588419192,-73.60320568084717
241,Marie-Anne / St-Hubert,8,10,19,45.5246829812827,-73.5788968205452
242,Durocher / Bernard,14,0,15,45.52222528598142,-73.60668718814848
243,Fullum / de Rouen,16,10,27,45.5321322155395,-73.55876013636589
244,Sherbrooke / Frontenac,7,8,15,45.5367,-73.56081
245,Square St-Louis (du Square St-Louis / Laval),25,5,31,45.516090801970655,-73.5701286792755
246,St-Dominique / du Mont-Royal,19,2,23,45.52055948154798,-73.58582027256489
247,St-André / Cherrier,25,1,27,45.52051578783967,-73.567695915699
248,Gauthier / Parthenais,14,0,15,45.53292625574653,-73.56377989053726
249,Garnier / St-Grégoire,17,5,23,45.5358215436799,-73.58710169792175
250,de Lanaudière / Marie-Anne,15,3,19,45.52932643090091,-73.57480645179749
251,de Lanaudière / du Mont-Royal,9,19,31,45.53022106537559,-73.57699647545813
252,Boyer / du Mont-Royal,24,2,27,45.527432126380575,-73.57991673052311
253,Chapleau / du Mont-Royal,9,6,15,45.53867,-73.56936
254,Parc de Bullion (de Bullion / Prince-Arthur),16,2,19,45.515604257816335,-73.57213497161865
255,Hutchison / Van Horne,16,2,19,45.52497706918177,-73.6106863617897
256,Dollard / Van Horne,12,7,19,45.51915286772737,-73.61646920442581
257,de Maisonneuve / Mansfield (sud),10,16,27,45.502053864057466,-73.57346534729004
258,Hélène-Baillargeon / St-Denis,17,2,19,45.52974,-73.59527
259,St-Dominique / Bernard,22,1,23,45.52793332015246,-73.60122251338906
260,St-Hubert / Laurier,19,0,19,45.52895039362793,-73.587866127491
261,Hutchison / des Pins,16,4,22,45.51069,-73.57805
262,Durocher / Sherbrooke,20,3,23,45.507076248365834,-73.57228517532349
263,de l'Hôtel-de-Ville / Sherbrooke,19,7,27,45.514524730294404,-73.56835573911665
264,Cartier / Rosemont,17,2,19,45.54124722370603,-73.59104454517365
265,Graham / Brookfield,16,6,23,45.52022241072457,-73.62985610961914
266,Brittany / Ainsley,6,12,19,45.52588991809354,-73.65003436803818
267,Parc Pratt (Dunlop / Van Horne),14,1,15,45.514918954061876,-73.61968517303467
268,de Bellechasse / de St-Vallier,16,3,19,45.53341043363302,-73.60112428665161
269,St-Dominique / St-Zotique,29,2,31,45.53226461018495,-73.6110632121563
270,Louis-Hébert / de Bellechasse,22,3,26,45.546661109634606,-73.58868420124054
271,de Bordeaux / St-Zotique,15,2,19,45.546539011777845,-73.59866470098495
272,Clark / Laurier,11,1,15,45.522544455627866,-73.59346926212311
273,Parc Joyce (Rockland / Lajoie),11,4,15,45.515617,-73.614991
274,des Érables / Bélanger,12,3,15,45.54912085535069,-73.60087350010872
275,Louis-Hébert / St-Zotique,12,2,15,45.55001,-73.59576
276,Parc du Pélican (1ère avenue / Masson),26,11,39,45.5451997,-73.57645065
277,de Gaspé / Beaubien,13,6,19,45.531957916826386,-73.60700100660324
278,Parc Père-Marquette (Chambord / Rosemont),25,14,39,45.537087833013324,-73.59321847558022
279,Villeneuve / du Parc,4,11,15,45.51829,-73.59235
280,1ère avenue / Rosemont,7,7,15,45.54779995287998,-73.58486741781235
281,1ère  avenue / St-Zotique,12,3,15,45.551937362101,-73.59392791986465
282,Boyer / Rosemont,17,9,31,45.53409866804061,-73.59553456306458
283,Cartier / Bélanger,20,3,23,45.546779039476185,-73.60281676054001
284,de l'Hôtel-de-Ville / Roy,4,15,19,45.51733075399989,-73.57449866831303
285,Chambord / Beaubien,7,10,19,45.539900246044354,-73.59936207532883
