station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
129,Préfontaine / Marcel-Pépin,12,5,19,45.54365380040509,-73.55942063033581,4.0,3.0,2.0,8.0,131.0,1.0
130,Métro Atwater (Atwater / Ste-Catherine),4,28,35,45.48952522221574,-73.5844581949641,4.5,4.0,4.0,8.2,49.0,1.0
131,Hochelaga / de l'Assomption,23,0,23,45.566883091095185,-73.53943817317486,4.5,49.0,2.0,7.4,10.0,1.0
132,Bassin olympique (Chemin du Chenal le Moyne),12,7,19,45.5169025120042,-73.52724552154541,4.0,45.0,1.0,8.7,103.0,1.0
133,Parc Wilfrid-Bastien (Lacordaire / des Galets),14,0,19,45.5864002,-73.5952181,,,,,,
134,de Chambly / de Rouen,5,5,11,45.54710313981358,-73.54892447590828,3.5,54.0,3.0,,,
135,BAnQ (Berri),4,10,15,45.51601387670667,-73.56291957199574,3.875,70.0,8.0,,,
136,Parc Ernest-Rouleau (Gouin),1,14,19,45.63131269772338,-73.61631497740746,,,,9.5,258.0,1.0
137,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),22,0,26,45.49624140543275,-73.62983867526054,3.75,113.0,2.0,8.65,92.0,2.0
138,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),34,0,37,45.50398168549117,-73.62283945083618,2.5,19.0,2.0,,,
139,Parc Honoré-Mercier (Notre-Dame / Liébert),15,10,27,45.59275253568305,-73.51035632193089,,,,,,
140,Keller / Cousineau,13,1,15,45.52355020292929,-73.7138856947422,,,,,,
141,Parc d'Antioche (Place d'Antioche / St-Zotique),4,13,19,45.59566584124368,-73.5596626996994,,,,9.4,101.0,3.0
142,Gare Lachine (Sir George Simpson / 48e avenue),15,0,15,45.447821314280105,-73.71091783046722,,,,,,
143,de Gaspé / Marmier,14,4,21,45.529668174024685,-73.60166944563389,4.071428571428571,12.0,7.0,7.6,16.0,1.0
144,Grenet / Poirier,7,4,15,45.51871924623225,-73.69875401258469,,,,,,
145,IUSMM (Georges-Villeneuve),13,9,27,45.58661042838809,-73.52969169616699,,,,9.5,258.0,1.0
146,Square Nelligan (des Appalaches / Alexis-Nihon),1,13,15,45.51431824920811,-73.70799824595451,,,,,0.0,1.0
147,Parc MacDonald (Clanranald / Isabella),1,12,15,45.48274245886277,-73.63497912883759,,,,,,
148,La Tour de Montréal (Pierre-de-Coubertin / Bennett),15,9,25,45.55970526805903,-73.55155438184738,4.25,379.0,6.0,,0.0,1.0
149,St-Antoine / 19e avenue,10,5,15,45.43993803436114,-73.68146234754022,,,,,,
150,Messier / St-Joseph,10,5,17,45.53946063965585,-73.57605636119843,4.375,22.0,4.0,,0.0,1.0
151,Square Viger (Berri / Viger),8,21,30,45.5121682576952,-73.55481594800949,4.1,51.0,10.0,6.8,9.0,1.0
152,Dorion / Ontario,18,15,35,45.526991277453526,-73.55821162462234,3.5,58.0,3.0,8.8,160.0,1.0
153,Larivière / de Lorimier,18,17,39,45.5291345371163,-73.55923354625702,4.166666666666667,58.0,3.0,9.0,21.0,1.0
154,Viger / Chenneville,20,14,34,45.50531166520915,-73.56089115142822,4.1923076923076925,160.0,13.0,9.1,214.0,1.0
155,René-Lévesque / Papineau,25,0,27,45.52097057660443,-73.5499919950962,3.75,22.0,4.0,,,
156,Logan / Fullum,16,3,19,45.52836601591233,-73.55117082595825,3.0,3.0,2.0,,0.0,1.0
157,Joseph-Manseau / René-Lévesque,12,7,19,45.491686521008035,-73.57676714658737,4.125,18.0,4.0,,,
158,Logan / d'Iberville,4,13,19,45.53061161207863,-73.54911457747221,3.0,1.0,1.0,,,
159,du Havre / de Rouen,18,8,27,45.53456256501449,-73.55478646466509,3.6666666666666665,4.0,3.0,,0.0,2.0
160,Square Victoria (Viger / du Square-Victoria),8,11,19,45.50206,-73.56295,4.090909090909091,156.0,11.0,,,
161,Métro Peel (de Maisonneuve / Stanley),36,11,49,45.50038,-73.57507,4.0,28.0,6.0,,0.0,1.0
162,St-Antoine / St-François-Xavier,11,6,18,45.50459069556304,-73.55918794870377,4.1923076923076925,160.0,13.0,8.8,160.0,1.0
163,Métro Place-d'Armes (Viger / St-Urbain),6,23,29,45.50631445605528,-73.55967122894072,4.1923076923076925,176.0,13.0,,,
164,Métro Laurier (Berri / Laurier),19,0,23,45.52809995527671,-73.58843871625139,4.214285714285714,28.0,7.0,,,
165,St-Hubert / de Maisonneuve (nord),19,4,23,45.51613214980722,-73.56049686670303,4.0,71.0,9.0,,0.0,5.0
166,de Rouen / Lespérance,16,5,23,45.538859462962286,-73.5528177022934,3.5,3.0,2.0,,0.0,1.0
167,Calixa-Lavallée / Sherbrooke,12,4,19,45.52479,-73.56545,3.6,84.0,5.0,,0.0,1.0
168,St-Hubert / Duluth,11,11,23,45.522425652788634,-73.57418417930603,4.333333333333333,104.0,6.0,,0.0,1.0
169,de Bullion / du Mont-Royal,16,2,19,45.52141314643908,-73.58498811721802,4.277777777777778,30.0,9.0,8.5,20.0,1.0
170,de Lanaudière / Laurier,11,11,23,45.5333136054992,-73.58373686671257,4.25,24.0,6.0,8.0,12.0,2.0
171,Laval / Duluth,11,8,23,45.51922631024093,-73.57718793155072,4.428571428571429,105.0,7.0,,0.0,1.0
172,Vallières / St-Laurent,4,17,23,45.518967223320054,-73.5836161673069,4.222222222222222,29.0,9.0,9.0,787.0,2.0
173,Duluth / de l'Esplanade,13,8,23,45.515132275425785,-73.58105599880219,4.1875,52.0,8.0,7.9,51.0,1.0
174,Hogan / Ontario,4,6,11,45.535295480380306,-73.55116009712219,3.0,2.0,2.0,9.0,787.0,2.0
175,la Fontaine / Alexandre-de-Sève,17,1,19,45.52330366033427,-73.55799973011017,3.8,101.0,5.0,8.5,20.0,3.0
176,Ste-Catherine / Union,23,11,34,45.50373771539475,-73.56948494911194,4.0,32.0,9.0,,,
177,Chabot / Mont-Royal,16,4,23,45.53413436610844,-73.57352435588837,4.375,59.0,4.0,9.3,576.0,1.0
178,Gauthier / Papineau,17,4,23,45.52966629503036,-73.56733649969101,4.1,60.0,5.0,,0.0,3.0
179,Messier / du Mont-Royal,16,2,23,45.53711414,-73.5710031,4.333333333333333,4.0,3.0,,,
180,Laval / du Mont-Royal,2,12,15,45.5223645775784,-73.58414590358734,4.25,28.0,8.0,9.3,576.0,1.0
181,Jeanne-Mance / Sherbrooke,3,20,25,45.50928678961862,-73.57101917266846,4.055555555555555,63.0,9.0,,,
182,Métro Laurier (Berri / St-Joseph),9,9,18,45.52723106564012,-73.58672618865965,4.1875,33.0,8.0,,,
183,Pontiac / Gilford,11,12,23,45.527009334270645,-73.58576595783234,4.055555555555555,34.0,9.0,,0.0,1.0
184,Christophe-Colomb / St-Joseph,17,3,23,45.53036486555959,-73.58439266681671,4.071428571428571,25.0,7.0,,,
185,Cartier / St-Joseph,19,0,19,45.53582823686429,-73.57869029045105,4.5,78.0,6.0,6.6,8.0,3.0
186,Métro Frontenac (Ontario / du Havre),0,22,23,45.533705987798946,-73.55217933654784,3.0,2.0,2.0,,0.0,1.0
187,Roy / St-Denis,18,5,26,45.51908,-73.5727,4.333333333333333,108.0,6.0,,,
188,Maguire / Henri-Julien,12,7,19,45.527041096087785,-73.59347056655677,4.055555555555555,38.0,9.0,,,
189,Laurier / de Brébeuf,12,17,31,45.532513956311426,-73.58481109142303,4.214285714285714,25.0,7.0,7.4,12.0,1.0
190,Laurier / de Bordeaux,19,2,23,45.53727946481992,-73.5791677236557,4.375,22.0,4.0,,,
191,Henri-Julien / du Carmel,17,6,23,45.52795093787009,-73.59502326697111,4.0,30.0,8.0,,,
192,Cartier / Masson,12,4,19,45.5380207402854,-73.58352363109587,4.3,23.0,5.0,,,
193,Parc Ludger-Duvernay (St-André / St-Hubert),15,2,19,45.53147464147482,-73.59242051839828,4.214285714285714,25.0,7.0,,,
194,Boucher / St-Denis,18,4,23,45.527930077456865,-73.59183847904205,4.214285714285714,28.0,7.0,7.8,9.0,1.0
195,Drolet / Marie-Anne,6,13,19,45.52240257341408,-73.58117669820786,4.3,108.0,10.0,,0.0,1.0
196,St-André / Rachel,6,8,15,45.52435318759273,-73.57596650719643,4.4375,123.0,8.0,,,
197,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),31,7,43,45.5148664330228,-73.58475860237377,4.214285714285714,28.0,7.0,8.4,34.0,1.0
198,Roy / St-André,18,4,23,45.521564270906616,-73.57036739587784,4.4,104.0,5.0,9.0,21.0,1.0
199,Garnier / St-Joseph,17,1,19,45.5330129192707,-73.58128666877745,4.142857142857143,79.0,7.0,,,
200,de l'Esplanade / Fairmount,17,1,19,45.521495731487576,-73.5968267172575,4.090909090909091,33.0,11.0,,0.0,2.0
201,Jeanne-Mance / St-Viateur,19,2,23,45.523026476635074,-73.60184043645859,4.055555555555555,17.0,9.0,,0.0,2.0
202,du Parc-La Fontaine / Duluth,14,8,22,45.52451761488783,-73.57197672128677,4.4,90.0,5.0,,,
203,Casgrain / St-Viateur,7,14,23,45.52751292628879,-73.59879076480864,4.0,26.0,7.0,,,
204,St-Dominique / Laurier,4,17,23,45.52361490311454,-73.59245739877223,4.25,54.0,12.0,,,
205,de Bullion / St-Joseph,10,13,23,45.52404631813311,-73.59015061847458,4.3,48.0,10.0,7.6,28.0,1.0
206,de Gaspé / Fairmount,9,12,23,45.52557815939422,-73.59285570681095,4.090909090909091,54.0,11.0,6.6,8.0,5.0
207,du Parc-La Fontaine / Roy,16,2,19,45.52286653749578,-73.56837719678879,4.2,100.0,5.0,8.7,103.0,1.0
208,de l'Hôtel-de-Ville / Villeneuve,8,12,23,45.52348082760688,-73.58732756238169,4.3,48.0,10.0,9.5,774.0,1.0
