row_from_station,id,name,rating,review_count,latitude,longitude
414,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
415,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
415,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
415,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
415,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
415,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
416,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
416,H0seMhx8iw6OQ5MQu5nieA,Parc Saint-Henri,4.0,1,45.4801535648346,-73.5866179772601
416,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
416,40TZ3gk6eG_xOVFOZ2YgCg,Jardins Queen-Elizabeth,4.0,1,45.4448815,-73.7050391
416,MrU79j6c5w0R2R6JGbq9lA,Parc Baile,5.0,1,45.4913051807055,-73.5792804621262
416,wkli_g-HrcQIudeeOqgoWA,Square Sir George Etienne Cartier,5.0,1,45.4740046,-73.5875379
417,4PZpvhk1jYBOa2bC8D89zg,Parc du Quai-de-la Tortue,4.0,2,45.4477306973109,-73.5698470473289
417,J3AMUmtEqXCqF2-lUOak0w,Parc Willibrord,5.0,1,45.45911,-73.57387
417,ZdULjUzJdp8cPF3cZg9OdQ,Parc Saint-Paul,5.0,1,45.4612799091698,-73.5848302988189
417,uYcKN4P7C644e5Ficdh4xA,Parc Desmarchais,4.5,3,45.4539186609283,-73.5653794929385
417,wf8OdvpNdi6-Wf4eLxObcA,Parc Archie-Wilcox,3.0,1,45.4529499033607,-73.5669046640396
418,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
418,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
420,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
420,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
420,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
421,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
421,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
422,E14VLV7RMLpoLhEVpPVQcQ,Vieux-Port de Montréal,4.5,113,45.4999814,-73.5533775
422,ueW53pCIg0YsD5CRhfIFhg,Square Dorchester,4.0,10,45.49959848003886,-73.57105097116445
422,Gh_ynOR3MyWPvZJZnroP7g,Entrée de Ville Bonaventure,4.0,2,45.497226,-73.559131
422,Wkw2h5UYaGbXsq9si0vWxw,Place Jean-Paul Riopelle,4.5,4,45.5032781324417,-73.5610858306048
422,95mPSpkFItM0q3JBp9LF8g,Square Phillips,4.0,3,45.5041909,-73.5688404
422,7I0dcSeA5ooDeOzLpFQaxw,Place Jean-Paul Riopelle,4.0,1,45.5032,-73.56184
422,f7h7pLqaN2Yqg1tDH4kzqg,Bassin Peel,4.0,1,45.4929923678672,-73.5541674501084
422,l_sRGvWhKA4Ic7g6DhasZw,Parc Linéaire de la Commune,5.0,1,45.504394,-73.552635
423,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
423,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
423,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
423,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
423,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
423,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
424,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
424,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
425,4PZpvhk1jYBOa2bC8D89zg,Parc du Quai-de-la Tortue,4.0,2,45.4477306973109,-73.5698470473289
425,J3AMUmtEqXCqF2-lUOak0w,Parc Willibrord,5.0,1,45.45911,-73.57387
425,ZdULjUzJdp8cPF3cZg9OdQ,Parc Saint-Paul,5.0,1,45.4612799091698,-73.5848302988189
425,uYcKN4P7C644e5Ficdh4xA,Parc Desmarchais,4.5,3,45.4539186609283,-73.5653794929385
425,wf8OdvpNdi6-Wf4eLxObcA,Parc Archie-Wilcox,3.0,1,45.4529499033607,-73.5669046640396
426,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
427,Xy6DqZgEVVrNIJxGphkhmg,Parc de la Promenade Bellerive,4.0,1,45.603495,-73.509789
428,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
428,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
428,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
428,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
429,G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,4.5,256,45.560055,-73.56339
429,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
429,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
429,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
429,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
429,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
429,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
430,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
430,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
430,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
430,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
430,663j73y1oN_Ypl5qG5SRzg,Parc Des Faubourgs,3.0,1,45.527203177033,-73.5571799545549
430,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
430,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
430,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
